grad(p):0,grad(p):1,grad(p):2
0.00021627,0.00011119,0
0.00019219,0.0001148,-4.40E-20
0.0001695,0.00011736,4.14E-20
0.00014838,0.00011885,-4.10E-23
0.00012888,0.00011934,2.36E-22
0.00011098,0.00011889,4.01E-20
9.46E-05,0.00011765,-3.83E-20
7.98E-05,0.00011574,-2.24E-22
6.64E-05,0.00011325,3.87E-20
5.44E-05,0.00011029,-7.50E-20
4.36E-05,0.00010695,-7.96E-22
3.41E-05,0.0001033,3.66E-20
2.56E-05,9.94E-05,-3.71E-20
1.82E-05,9.54E-05,7.40E-20
1.17E-05,9.13E-05,-7.41E-20
6.12E-06,8.72E-05,3.68E-20
1.28E-06,8.31E-05,-3.80E-20
-2.88E-06,7.90E-05,-7.87E-22
-6.43E-06,7.50E-05,3.78E-20
-9.47E-06,7.11E-05,-1.51E-22
-1.20E-05,6.73E-05,0
-1.42E-05,6.36E-05,3.15E-22
-1.60E-05,6.00E-05,-2.06E-20
-1.75E-05,5.66E-05,2.11E-20
-1.88E-05,5.33E-05,-2.16E-20
-1.99E-05,5.01E-05,2.20E-20
-2.08E-05,4.71E-05,0
-2.16E-05,4.43E-05,0
-2.23E-05,4.16E-05,2.45E-20
-2.28E-05,3.91E-05,-2.52E-20
-2.34E-05,3.67E-05,2.65E-20
-2.38E-05,3.44E-05,-2.74E-20
-2.42E-05,3.22E-05,0
-2.46E-05,3.01E-05,-1.49E-20
-2.50E-05,2.82E-05,1.58E-20
-2.53E-05,2.62E-05,1.97E-22
-2.55E-05,2.44E-05,0
-2.58E-05,2.26E-05,7.27E-23
-2.60E-05,2.09E-05,-2.01E-20
-2.61E-05,1.93E-05,2.11E-20
-2.63E-05,1.77E-05,-2.22E-20
-2.64E-05,1.63E-05,2.37E-20
-2.65E-05,1.50E-05,1.29E-20
-2.66E-05,1.37E-05,-1.35E-20
-2.66E-05,1.25E-05,1.44E-20
-2.67E-05,1.13E-05,-3.10E-20
-2.67E-05,1.02E-05,1.65E-20
-2.68E-05,9.05E-06,-8.92E-21
-2.68E-05,7.85E-06,9.42E-21
-2.68E-05,6.71E-06,0
-2.68E-05,5.52E-06,4.32E-23
-2.69E-05,4.30E-06,-1.20E-20
-2.69E-05,3.21E-06,1.29E-20
-2.69E-05,2.07E-06,1.09E-22
-2.69E-05,1.04E-06,5.89E-23
-2.69E-05,1.24E-07,4.06E-21
-2.69E-05,-6.64E-07,-2.20E-21
-2.69E-05,-8.40E-07,-2.30E-21
-2.69E-05,-4.15E-07,0
0.00029667,-7.60E-05,-3.74E-23
0.00025666,-0.00012871,2.40E-23
0.00030849,-7.49E-05,-3.39E-19
0.00034553,-3.16E-05,7.37E-22
0.00035877,-1.31E-05,2.89E-19
0.0003651,-1.15E-06,-1.47E-23
0.00037034,1.12E-05,-2.47E-19
0.0003736,2.29E-05,2.28E-19
0.00037397,3.25E-05,-5.49E-23
0.00037125,3.94E-05,-1.98E-19
0.00036554,4.32E-05,3.69E-19
0.00035719,4.40E-05,-1.72E-19
0.00034661,4.24E-05,-4.15E-23
0.00033422,3.92E-05,7.56E-20
0.00032052,3.58E-05,4.02E-22
0.00030587,3.32E-05,3.73E-22
0.00029046,3.27E-05,-6.21E-20
0.00027436,3.50E-05,2.71E-23
0.00025748,4.00E-05,0
0.00023979,4.72E-05,0
