grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8
0.0013095,-0.00074912,5.79E-23,-0.0052234,-0.001306,8.09E-21,2.82E-19,4.67E-21,-2.76E-39
0.0013402,-0.00069537,4.53E-23,-0.0066297,-0.0013367,7.11E-21,-1.48E-19,-2.36E-21,8.50E-40
0.001376,-0.0006448,-1.97E-21,-0.0082394,-0.0013715,1.53E-21,1.15E-19,1.58E-21,7.58E-40
0.0014153,-0.00059708,-1.73E-20,-0.010071,-0.0014097,1.58E-20,-1.53E-19,-2.11E-21,-1.01E-39
0.0014557,-0.00055194,3.63E-20,-0.012144,-0.0014505,-2.25E-20,-1.48E-19,-1.70E-21,2.12E-39
0.0014973,-0.00050911,-2.13E-20,-0.014479,-0.001492,-1.05E-20,1.80E-19,2.06E-21,-4.40E-40
0.0015384,-0.00046836,-3.02E-22,-0.017099,-0.0015321,1.14E-20,1.17E-20,1.22E-22,5.32E-44
0.0015749,-0.00042943,7.35E-22,-0.020048,-0.0015682,1.10E-21,2.47E-20,2.08E-22,-6.22E-43
0.0016042,-0.00039211,-7.74E-22,-0.023392,-0.0015972,2.18E-21,0,0,0
0.0016228,-0.00035619,-3.44E-23,-0.027228,-0.0016159,-1.24E-20,0,0,0
0.0016281,-0.00032151,7.31E-23,-0.031697,-0.0016208,2.95E-20,1.13E-19,6.34E-22,1.15E-39
0.0016158,-0.00028791,1.52E-20,-0.036994,-0.0016087,-7.24E-21,-2.40E-19,-1.25E-21,-1.95E-39
0.001584,-0.00025529,-1.65E-20,-0.043369,-0.001576,-4.02E-20,1.43E-19,6.71E-22,1.50E-41
0.0015276,-0.00022359,-2.55E-22,-0.051163,-0.0015201,1.94E-20,7.33E-20,2.43E-22,-4.77E-40
0.0014465,-0.00019279,-9.56E-21,-0.06081,-0.0014385,3.60E-20,6.47E-21,-2.80E-23,1.08E-39
0.0013383,-0.00016297,2.26E-20,-0.072858,-0.0013306,-2.15E-21,-1.34E-19,-3.13E-22,-1.07E-39
0.0012047,-0.00013426,-1.18E-20,-0.08804,-0.0011972,-3.62E-20,1.25E-20,5.76E-23,1.00E-39
0.0010495,-0.00010686,-6.13E-22,-0.10735,-0.0010419,-6.52E-21,4.60E-20,8.52E-23,-1.36E-40
0.00087801,-8.10E-05,2.36E-22,-0.13229,-0.00087048,1.17E-20,3.54E-20,3.93E-23,-3.50E-40
0.00069817,-5.71E-05,3.44E-24,-0.16532,-0.00069073,3.15E-21,0,0,0
0.00052051,-3.54E-05,-9.83E-22,-0.21105,-0.00051214,2.07E-20,1.62E-20,5.02E-24,1.41E-40
0.00035385,-1.67E-05,4.99E-21,-0.27962,-0.0003469,-2.66E-21,-3.79E-20,-8.98E-24,-2.31E-40
0.00021354,-2.25E-06,-6.49E-21,-0.4002,-0.00021345,-3.18E-20,1.36E-20,2.86E-24,1.90E-40
0.0001165,6.77E-06,2.42E-21,-0.69631,-8.83E-05,1.02E-20,8.43E-21,6.90E-25,-9.33E-41
8.25E-05,9.59E-06,-3.39E-21,-1.2877,-7.14E-05,1.16E-20,0,0,0
0.22176,-0.041918,1.87E-19,1.5939,-0.21149,1.20E-18,6.81E-18,-9.03E-19,5.11E-36
0.072553,-0.02857,-3.04E-19,0.69883,-0.072428,-1.40E-18,2.99E-18,-3.09E-19,-5.96E-36
0.017785,-0.024229,1.30E-19,0.34424,-0.019419,1.03E-19,-1.86E-17,2.19E-18,1.85E-36
-0.00036924,-0.022693,-1.43E-20,0.21574,0.000605,2.00E-19,1.95E-17,-2.10E-18,-4.52E-37
