U:0,U:1,U:2
0.025815,-3.34E-05,7.26E-21
0.026162,0.00012143,-7.02E-21
0.026495,0.0002614,-7.35E-21
0.026816,0.00038644,-3.28E-22
0.027125,0.00049658,7.30E-21
0.027426,0.00059194,-1.18E-22
0.027718,0.0006728,6.02E-23
0.028004,0.00073963,-6.18E-23
0.028285,0.00079309,6.29E-23
0.028561,0.00083398,0
0.028833,0.0008633,-7.01E-25
0.029102,0.00088213,8.96E-21
0.029366,0.00089165,-8.95E-21
0.029625,0.00089304,1.47E-22
0.029878,0.00088749,-1.53E-22
0.030124,0.00087612,1.02E-20
0.03036,0.00085995,-1.04E-20
0.030586,0.00083988,-5.66E-21
0.030797,0.00081669,5.80E-21
0.030992,0.00079102,9.19E-23
0.03117,0.00076342,0
0.031326,0.0007343,1.00E-22
0.031461,0.00070402,-2.12E-22
0.031573,0.00067288,0
0.031661,0.00064113,1.16E-22
0.031723,0.00060897,7.81E-21
0.03176,0.00057661,-8.17E-21
0.031771,0.00054422,0
0.031754,0.00051193,-4.61E-21
0.031711,0.00047987,5.03E-21
0.031638,0.00044813,0
0.031537,0.00041679,8.71E-23
0.031404,0.00038589,0
0.031239,0.00035546,-8.17E-25
0.03104,0.00032553,-7.03E-21
0.030806,0.00029613,7.58E-21
0.030535,0.0002673,-1.28E-22
0.030225,0.00023912,4.66E-21
0.029877,0.00021168,8.37E-23
0.029489,0.00018513,-5.12E-21
0.02906,0.00015966,-6.76E-25
0.028589,0.00013548,6.08E-21
0.028073,0.0001128,-6.62E-21
0.027507,9.19E-05,1.11E-22
0.026887,7.29E-05,4.57E-25
0.026203,5.61E-05,6.53E-23
0.025446,4.17E-05,-4.60E-21
0.024603,2.97E-05,-7.91E-23
0.023659,2.02E-05,-1.52E-24
0.022595,1.31E-05,5.91E-21
0.021386,8.19E-06,0
0.020002,5.25E-06,3.71E-21
0.018394,3.85E-06,-4.13E-21
0.016482,3.49E-06,-2.45E-21
0.014105,3.59E-06,1.53E-21
0.010851,3.48E-06,2.30E-21
0.0051076,3.02E-06,9.94E-23
-0.00041674,9.78E-05,-9.50E-24
0.00058483,-0.00028997,0
0.001846,-0.00087718,3.56E-24
0.0032385,-0.0014375,0
0.0047756,-0.0019412,5.67E-24
0.0064229,-0.0023769,6.36E-24
0.0081355,-0.0027309,-8.63E-24
0.009868,-0.0029902,0
0.011577,-0.0031479,1.73E-20
0.013225,-0.0032046,2.02E-22
0.014781,-0.0031676,2.03E-22
0.016222,-0.00305,2.10E-22
0.017536,-0.0028684,-1.22E-20
0.018719,-0.0026408,-6.12E-24
0.019774,-0.0023846,-9.69E-24
0.020711,-0.002115,0
0.021543,-0.0018437,0
0.022283,-0.0015791,4.71E-24
0.022948,-0.0013262,1.62E-23
0.023549,-0.0010877,0
0.024097,-0.00086439,0
0.024603,-0.00065652,7.98E-21
0.025072,-0.0004639,-7.59E-21
0.02551,-0.00028634,7.59E-24
0.025923,-0.0001238,-4.43E-23
0.026313,2.37E-05,-7.66E-21
0.026684,0.00015612,7.46E-21
0.027038,0.00027345,4.44E-23
0.027379,0.00037584,-7.86E-21
0.027707,0.00046358,1.56E-20
0.028025,0.00053715,1.69E-22
0.028334,0.00059723,-7.97E-21
0.028635,0.00064467,8.31E-21
0.028928,0.00068048,-1.70E-20
0.029215,0.00070577,1.75E-20
0.029494,0.00072172,-8.92E-21
0.029765,0.00072952,9.48E-21
0.030028,0.00073034,2.02E-22
0.030279,0.00072527,-9.95E-21
0.030519,0.00071531,4.06E-23
0.030743,0.00070134,0
0.030951,0.00068408,-8.92E-23
0.031141,0.00066418,5.97E-21
0.03131,0.00064213,-6.25E-21
0.031456,0.00061837,6.52E-21
0.031579,0.00059325,-6.76E-21
0.031676,0.00056707,0
0.031749,0.00054009,0
0.031795,0.00051254,-7.94E-21
0.031814,0.00048462,8.33E-21
0.031807,0.00045651,-8.90E-21
0.031771,0.00042836,9.38E-21
0.031707,0.00040029,0
0.031614,0.00037238,5.33E-21
0.03149,0.00034472,-5.80E-21
0.031333,0.00031735,-7.40E-23
0.031143,0.00029031,0
0.030917,0.00026365,-2.86E-23
0.030653,0.0002374,8.09E-21
0.030352,0.00021167,-8.68E-21
0.030011,0.00018655,9.28E-21
0.02963,0.0001622,-1.01E-20
0.029207,0.00013881,-5.57E-21
0.028741,0.0001166,5.93E-21
0.028229,9.58E-05,-6.37E-21
0.027666,7.67E-05,1.39E-20
0.027046,5.94E-05,-7.47E-21
0.026363,4.43E-05,4.09E-21
0.025604,3.15E-05,-4.38E-21
0.024758,2.10E-05,0
0.02381,1.30E-05,-2.07E-23
0.022739,7.36E-06,5.83E-21
0.021524,3.83E-06,-6.44E-21
0.020131,2.09E-06,-5.65E-23
0.018515,1.75E-06,-3.22E-23
0.016596,2.30E-06,-2.41E-21
0.014213,3.13E-06,1.51E-21
0.010957,3.54E-06,2.13E-21
0.0051913,3.40E-06,0
