grad(k):0,grad(k):1,grad(k):2
-1.50E-05,-6.60E-06,1.91E-20
-1.57E-05,-1.19E-05,-1.82E-20
-1.58E-05,-1.68E-05,3.36E-23
-1.53E-05,-2.13E-05,-3.16E-23
-1.45E-05,-2.54E-05,0
-1.35E-05,-2.90E-05,0
-1.23E-05,-3.21E-05,1.33E-20
-1.09E-05,-3.48E-05,-2.54E-20
-9.56E-06,-3.70E-05,1.21E-20
-8.20E-06,-3.88E-05,0
-6.87E-06,-4.03E-05,8.27E-23
-5.60E-06,-4.13E-05,0
-4.42E-06,-4.19E-05,-3.72E-23
-3.34E-06,-4.22E-05,0
-2.36E-06,-4.22E-05,-7.97E-21
-1.50E-06,-4.18E-05,3.94E-22
-7.60E-07,-4.12E-05,7.47E-21
-1.36E-07,-4.02E-05,-6.60E-21
3.75E-07,-3.90E-05,6.68E-21
7.79E-07,-3.76E-05,0
1.08E-06,-3.60E-05,2.84E-21
1.30E-06,-3.42E-05,-2.89E-21
1.45E-06,-3.24E-05,0
1.53E-06,-3.04E-05,-2.52E-21
1.56E-06,-2.84E-05,5.03E-21
1.55E-06,-2.64E-05,-2.52E-21
1.51E-06,-2.44E-05,-2.35E-21
1.45E-06,-2.24E-05,2.41E-21
1.36E-06,-2.04E-05,1.87E-23
1.27E-06,-1.83E-05,2.35E-21
1.16E-06,-1.63E-05,-2.44E-21
1.05E-06,-1.42E-05,-1.20E-21
9.20E-07,-1.20E-05,2.51E-21
7.90E-07,-9.77E-06,-1.32E-21
6.59E-07,-7.45E-06,1.34E-21
5.31E-07,-5.06E-06,-1.41E-21
4.12E-07,-2.60E-06,1.16E-23
3.12E-07,-5.03E-08,3.06E-24
2.38E-07,2.62E-06,0
1.98E-07,5.49E-06,-7.01E-24
1.99E-07,8.67E-06,0
2.47E-07,1.23E-05,-8.16E-24
3.44E-07,1.65E-05,0
4.89E-07,2.14E-05,0
6.72E-07,2.69E-05,-5.32E-24
8.80E-07,3.27E-05,-5.86E-24
1.09E-06,3.82E-05,-3.23E-24
1.28E-06,4.19E-05,-9.29E-22
1.40E-06,4.13E-05,1.00E-21
1.45E-06,3.18E-05,5.66E-22
1.38E-06,4.05E-06,-1.21E-21
1.20E-06,-6.53E-05,6.57E-22
8.73E-07,-0.00026036,-3.05E-22
1.58E-07,-0.0011373,3.33E-22
-1.06E-06,-0.0012801,0
0.00069587,0.0007065,1.21E-23
0.00082888,0.00087563,-8.17E-24
0.00051806,0.00058894,-4.75E-20
0.00037253,0.0004648,4.38E-20
0.00030825,0.00042058,-1.99E-23
0.00026937,0.0003988,-6.54E-20
0.00023777,0.00037906,6.05E-20
0.00020774,0.00035368,3.94E-23
0.00017769,0.00032024,-1.31E-23
0.00014784,0.00027925,0
0.00011976,0.00023358,1.86E-23
9.50E-05,0.00018708,6.74E-23
7.46E-05,0.00014351,1.77E-23
5.87E-05,0.00010573,6.58E-23
4.66E-05,7.53E-05,-3.35E-20
3.72E-05,5.24E-05,3.14E-20
2.96E-05,3.63E-05,2.93E-23
2.28E-05,2.57E-05,0
1.64E-05,1.89E-05,0
1.03E-05,1.44E-05,0
4.55E-06,1.11E-05,2.41E-20
-7.05E-07,7.91E-06,-2.26E-20
-5.22E-06,4.50E-06,4.21E-23
-8.85E-06,6.63E-07,-2.01E-20
-1.15E-05,-3.57E-06,1.94E-20
-1.33E-05,-8.05E-06,0
-1.43E-05,-1.26E-05,0
-1.46E-05,-1.70E-05,0
-1.44E-05,-2.12E-05,-1.52E-20
-1.37E-05,-2.50E-05,1.46E-20
-1.28E-05,-2.85E-05,0
-1.17E-05,-3.15E-05,-1.28E-20
-1.04E-05,-3.41E-05,1.22E-20
-9.16E-06,-3.63E-05,-1.12E-20
-7.86E-06,-3.80E-05,1.08E-20
-6.59E-06,-3.94E-05,-1.58E-22
-5.38E-06,-4.04E-05,-9.14E-21
-4.25E-06,-4.10E-05,9.21E-21
-3.21E-06,-4.12E-05,0
-2.29E-06,-4.11E-05,6.06E-23
-1.47E-06,-4.07E-05,7.30E-21
-7.70E-07,-4.00E-05,-7.24E-21
-1.84E-07,-3.90E-05,6.40E-21
2.94E-07,-3.77E-05,-6.55E-21
6.70E-07,-3.63E-05,0
9.54E-07,-3.46E-05,0
1.16E-06,-3.28E-05,-8.61E-23
1.29E-06,-3.10E-05,0
1.36E-06,-2.90E-05,8.02E-23
1.39E-06,-2.70E-05,0
1.38E-06,-2.50E-05,7.65E-23
1.35E-06,-2.30E-05,-2.32E-21
1.29E-06,-2.10E-05,2.37E-21
1.21E-06,-1.90E-05,-1.84E-23
1.12E-06,-1.70E-05,3.77E-23
1.02E-06,-1.49E-05,1.16E-21
9.05E-07,-1.28E-05,-1.26E-21
7.87E-07,-1.06E-05,1.32E-21
6.64E-07,-8.26E-06,-1.34E-21
5.44E-07,-5.88E-06,-1.38E-21
4.32E-07,-3.40E-06,1.48E-21
3.36E-07,-8.19E-07,0
2.64E-07,1.90E-06,8.50E-22
2.24E-07,4.85E-06,-1.76E-21
2.25E-07,8.11E-06,9.44E-22
2.72E-07,1.18E-05,2.40E-23
3.65E-07,1.62E-05,1.14E-21
5.06E-07,2.12E-05,-1.22E-21
6.82E-07,2.69E-05,7.02E-22
8.84E-07,3.29E-05,-7.32E-22
1.09E-06,3.85E-05,0
1.26E-06,4.24E-05,0
1.37E-06,4.21E-05,0
1.40E-06,3.31E-05,5.48E-22
1.32E-06,6.39E-06,-1.20E-21
1.13E-06,-6.07E-05,6.37E-22
7.97E-07,-0.00024921,-2.59E-24
2.81E-08,-0.0011195,8.45E-23
-1.11E-06,-0.001272,-9.14E-23
0.00057679,0.00055564,0
0.00069675,0.00069678,-2.95E-20
0.00043115,0.00046157,2.72E-20
0.00030123,0.00035352,-1.79E-23
0.00024507,0.0003166,1.22E-23
0.00021713,0.00030761,0
0.00020106,0.00030997,5.57E-20
0.00018795,0.0003133,7.56E-21
0.00017297,0.00031061,-1.17E-19
0.00015526,0.00029881,5.76E-20
0.00013517,0.00027691,5.67E-23
0.00011348,0.00024537,-1.85E-22
9.19E-05,0.00020669,-1.20E-22
7.22E-05,0.0001647,-1.87E-22
5.56E-05,0.00012358,-6.36E-23
4.27E-05,8.69E-05,-1.22E-22
3.30E-05,5.71E-05,0
2.58E-05,3.49E-05,-2.85E-20
2.00E-05,1.98E-05,2.67E-20
1.49E-05,1.06E-05,-2.54E-20
9.93E-06,5.43E-06,2.37E-20
5.07E-06,2.59E-06,0
4.22E-07,6.94E-07,0
-3.78E-06,-1.19E-06,-1.57E-22
-7.33E-06,-3.55E-06,-1.49E-22
-1.01E-05,-6.51E-06,-2.80E-22
-1.20E-05,-9.98E-06,0
-1.31E-05,-1.38E-05,1.60E-20
-1.36E-05,-1.76E-05,-1.51E-20
-1.34E-05,-2.14E-05,1.42E-20
-1.29E-05,-2.50E-05,-1.41E-20
-1.21E-05,-2.82E-05,1.28E-20
-1.10E-05,-3.11E-05,-2.41E-20
-9.87E-06,-3.36E-05,7.85E-24
-8.65E-06,-3.57E-05,2.17E-20
-7.42E-06,-3.74E-05,-2.00E-20
