"coords:0","coords:1","coords:2"
0.32844,2.1931,0.05
0.32826,2.2384,0.05
0.32809,2.2828,0.05
0.32792,2.3261,0.05
0.32775,2.3682,0.05
0.32759,2.4089,0.05
0.32744,2.4483,0.05
0.32729,2.4862,0.05
0.32715,2.5225,0.05
0.32701,2.5574,0.05
0.32688,2.5906,0.05
0.32675,2.6223,0.05
0.32664,2.6524,0.05
0.32653,2.6809,0.05
0.32642,2.7079,0.05
0.32632,2.7334,0.05
0.32623,2.7573,0.05
0.32614,2.7799,0.05
0.32605,2.801,0.05
0.32598,2.8209,0.05
0.3259,2.8394,0.05
0.32584,2.8567,0.05
0.32577,2.8729,0.05
0.32571,2.888,0.05
0.32566,2.902,0.05
0.32561,2.915,0.05
0.32556,2.9271,0.05
0.32552,2.9384,0.05
0.32548,2.9488,0.05
0.32544,2.9585,0.05
0.3254,2.9674,0.05
0.32537,2.9757,0.05
0.32534,2.9833,0.05
0.32531,2.9904,0.05
0.32529,2.9969,0.05
0.38263,0.87585,0.05
0.38264,0.88249,0.05
0.38264,0.88969,0.05
0.38265,0.89748,0.05
0.38266,0.90591,0.05
0.38267,0.91502,0.05
0.38267,0.92487,0.05
0.38268,0.93549,0.05
0.38269,0.94695,0.05
0.3827,0.9593,0.05
0.38271,0.9726,0.05
0.38273,0.9869,0.05
0.38274,1.0023,0.05
0.38275,1.0188,0.05
0.38277,1.0364,0.05
0.38278,1.0553,0.05
0.3828,1.0756,0.05
0.38282,1.0971,0.05
0.38284,1.1201,0.05
0.38286,1.1446,0.05
0.38288,1.1706,0.05
0.3829,1.1981,0.05
0.38293,1.2272,0.05
0.38295,1.2578,0.05
0.38298,1.2901,0.05
0.38301,1.3241,0.05
0.38304,1.3596,0.05
0.38307,1.3967,0.05
0.3831,1.4353,0.05
0.38314,1.4755,0.05
0.38317,1.517,0.05
0.38321,1.5599,0.05
0.38324,1.6041,0.05
0.38328,1.6493,0.05
0.38332,1.6956,0.05
0.38336,1.7427,0.05
0.3834,1.7905,0.05
0.38344,1.8388,0.05
0.38348,1.8875,0.05
0.38352,1.9363,0.05
0.38356,1.9852,0.05
0.3836,2.0339,0.05
0.38365,2.0822,0.05
0.38369,2.13,0.05
0.38372,2.1771,0.05
0.38376,2.2233,0.05
0.3838,2.2686,0.05
0.38384,2.3127,0.05
0.38387,2.3556,0.05
0.38391,2.3972,0.05
0.38394,2.4373,0.05
0.38398,2.476,0.05
0.38401,2.5131,0.05
0.38404,2.5486,0.05
0.38406,2.5825,0.05
0.38409,2.6148,0.05
0.38412,2.6455,0.05
0.38414,2.6746,0.05
0.38417,2.7021,0.05
0.38419,2.7281,0.05
0.38421,2.7525,0.05
0.38423,2.7755,0.05
0.38424,2.7971,0.05
0.38426,2.8173,0.05
0.38428,2.8362,0.05
0.38429,2.8539,0.05
0.38431,2.8704,0.05
0.38432,2.8858,0.05
0.38433,2.9001,0.05
0.38434,2.9134,0.05
0.38435,2.9257,0.05
0.38436,2.9372,0.05
0.38437,2.9478,0.05
0.38438,2.9576,0.05
0.38439,2.9667,0.05
0.38439,2.9752,0.05
0.3844,2.983,0.05
0.38441,2.9902,0.05
0.38441,2.9968,0.05
0.42923,0.83154,0.05
0.42927,0.83833,0.05
0.42932,0.84568,0.05
0.42937,0.85363,0.05
0.42943,0.86224,0.05
0.42949,0.87154,0.05
0.42956,0.88159,0.05
0.42963,0.89243,0.05
0.42971,0.90413,0.05
0.42979,0.91674,0.05
0.42988,0.93031,0.05
0.42998,0.94491,0.05
0.43008,0.9606,0.05
0.43019,0.97743,0.05
0.43031,0.99547,0.05
0.43044,1.0148,0.05
0.43057,1.0354,0.05
0.43072,1.0575,0.05
0.43088,1.0809,0.05
0.43104,1.1059,0.05
0.43122,1.1324,0.05
0.4314,1.1605,0.05
0.4316,1.1902,0.05
0.4318,1.2215,0.05
0.43202,1.2545,0.05
0.43225,1.2891,0.05
0.43249,1.3254,0.05
0.43274,1.3633,0.05
0.433,1.4027,0.05
0.43327,1.4437,0.05
0.43355,1.4861,0.05
0.43384,1.5299,0.05
0.43414,1.575,0.05
0.43445,1.6212,0.05
0.43476,1.6684,0.05
0.43507,1.7165,0.05
0.4354,1.7652,0.05
0.43572,1.8146,0.05
0.43605,1.8643,0.05
0.43638,1.9141,0.05
0.43671,1.964,0.05
0.43704,2.0137,0.05
0.43736,2.063,0.05
0.43769,2.1118,0.05
0.438,2.1599,0.05
0.43832,2.2071,0.05
0.43862,2.2533,0.05
0.43892,2.2984,0.05
